ID,cluster,label
ZINCdv000000wUIW,cluster_0001,c_0001_001
ZINCcr0000000pNq,cluster_0001,c_0001_002
ZINCdn000000Y1U2,cluster_0001,c_0001_003
ZINCer000000wWhI,cluster_0001,c_0001_004
ZINCeu000000wXDK,cluster_0001,c_0001_005
ZINCez000000wZ3I,cluster_0001,c_0001_006
ZINCer000000wWgs,cluster_0001,c_0001_007
ZINCev000000wXYc,cluster_0001,c_0001_008
ZINCeq0000002EWk,cluster_0001,c_0001_009
ZINCez000000wZ45,cluster_0001,c_0001_010
ZINCfo000000YmEa,cluster_0001,c_0001_011
ZINCfi000000Yi8F,cluster_0001,c_0001_012
ZINCgt000000hFbe,cluster_0001,c_0001_013
ZINCgv000000kmxV,cluster_0001,c_0001_014
ZINCgv000000xgr8,cluster_0001,c_0001_015
ZINCgt000000i2EP,cluster_0001,c_0001_016
ZINCgz000000xkOe,cluster_0001,c_0001_017
ZINCgt000000xdEa,cluster_0001,c_0001_018
ZINCgw000000lIOk,cluster_0001,c_0001_019
ZINCgt000000ij1w,cluster_0001,c_0001_020
ZINCgu000000xfJN,cluster_0001,c_0001_021
ZINCej000000SI8r,cluster_0002,c_0002_001
ZINCfn000000TnhD,cluster_0002,c_0002_002
ZINCfl0000010qEv,cluster_0002,c_0002_003
ZINCfq0000005H53,cluster_0002,c_0002_004
ZINCfn0000010wfF,cluster_0002,c_0002_005
ZINCfn0000010wri,cluster_0002,c_0002_006
ZINCfo0000010Can,cluster_0002,c_0002_007
ZINCgd000000ykvh,cluster_0002,c_0002_008
ZINCgr000000eTxM,cluster_0002,c_0002_009
ZINCgt000000hJNi,cluster_0002,c_0002_010
ZINCgr000000eRqu,cluster_0002,c_0002_011
ZINCgq000000edty,cluster_0002,c_0002_012
ZINCgo000001ngUE,cluster_0002,c_0002_013
ZINCgs000000gDB2,cluster_0002,c_0002_014
ZINCgr000000eYZz,cluster_0002,c_0002_015
ZINCge0000011Wpe,cluster_0002,c_0002_016
ZINCgf00000126YZ,cluster_0002,c_0002_017
ZINCgq000000eEDC,cluster_0002,c_0002_018
ZINCgm000000YDON,cluster_0003,c_0003_001
ZINCfb000000ZO94,cluster_0004,c_0004_001
ZINCdc0000000UV7,cluster_0004,c_0004_002
ZINCeh0000016oPE,cluster_0004,c_0004_003
ZINCem0000007s2N,cluster_0004,c_0004_004
ZINCeg0000005PyM,cluster_0004,c_0004_005
ZINCf60000018CHV,cluster_0004,c_0004_006
ZINCfd000000ZRFV,cluster_0004,c_0004_007
ZINCf5000000axRZ,cluster_0004,c_0004_008
ZINCgl00000135uR,cluster_0004,c_0004_009
ZINCgd000001hVrU,cluster_0004,c_0004_010
ZINCgf00000127q8,cluster_0004,c_0004_011
ZINCgf00000127q3,cluster_0004,c_0004_012
ZINCg5000000nxta,cluster_0004,c_0004_013
ZINCfu0000008BT6,cluster_0005,c_0005_001
ZINCer00000035mD,cluster_0005,c_0005_002
ZINCeq0000002OPb,cluster_0005,c_0005_003
ZINCfr0000006Bac,cluster_0005,c_0005_004
ZINCfu0000008D6Q,cluster_0005,c_0005_005
ZINCfq0000005XeA,cluster_0005,c_0005_006
ZINCfq0000005XeB,cluster_0005,c_0005_007
ZINCfx000000ab21,cluster_0005,c_0005_008
ZINCgx000000mYXh,cluster_0005,c_0005_009
ZINCgu000000jPyE,cluster_0005,c_0005_010
ZINCgy000000nZlb,cluster_0005,c_0005_011
ZINCdj0000001BlJ,cluster_0006,c_0006_001
ZINCcf0000000xbb,cluster_0006,c_0006_002
ZINCci0000000FAv,cluster_0006,c_0006_003
ZINCcj0000000H3g,cluster_0006,c_0006_004
ZINCc50000000cCa,cluster_0006,c_0006_005
ZINCcf0000000xaS,cluster_0006,c_0006_006
ZINCdn0000001WEu,cluster_0006,c_0006_007
ZINCd90000000EVN,cluster_0006,c_0006_008
ZINCed0000004XIN,cluster_0006,c_0006_009
ZINCff000000g3Qh,cluster_0006,c_0006_010
ZINCfj000000iqXu,cluster_0006,c_0006_011
ZINCcq0000000rvP,cluster_0007,c_0007_001
ZINCbm0000001SIL,cluster_0007,c_0007_002
ZINCfq0000005BAf,cluster_0007,c_0007_003
ZINCgq000000EIh5,cluster_0007,c_0007_004
ZINCgx000000mAMq,cluster_0007,c_0007_005
ZINCgq000000dtit,cluster_0007,c_0007_006
ZINCgs000000gj7g,cluster_0007,c_0007_007
ZINCgt000000hZ9p,cluster_0007,c_0007_008
ZINCgy000000nGK9,cluster_0007,c_0007_009
ZINCgf000000Xqsd,cluster_0008,c_0008_001
ZINCeb000000Z2wi,cluster_0008,c_0008_002
ZINCff000000ZYUI,cluster_0008,c_0008_003
ZINCgh000000XvRA,cluster_0008,c_0008_004
ZINCgh0000012iFT,cluster_0008,c_0008_005
ZINCgj0000012Cnf,cluster_0008,c_0008_006
ZINCgo000000P5pE,cluster_0009,c_0009_001
ZINCei0000006wL0,cluster_0009,c_0009_002
ZINCfb000000dIpv,cluster_0009,c_0009_003
ZINCfh000000hq3G,cluster_0009,c_0009_004
ZINCfs0000007rUO,cluster_0009,c_0009_005
ZINCgp000000QzSV,cluster_0009,c_0009_006
ZINCgn000000NzYY,cluster_0009,c_0009_007
ZINCgt000000hFut,cluster_0010,c_0010_001
ZINCfk0000010jND,cluster_0010,c_0010_002
ZINCft000000830R,cluster_0011,c_0011_001
ZINCet0000003GNU,cluster_0011,c_0011_002
ZINCet0000003GNV,cluster_0011,c_0011_003
ZINCeq0000002Pkf,cluster_0011,c_0011_004
ZINCft0000007OkO,cluster_0011,c_0011_005
ZINCgx000000no1p,cluster_0011,c_0011_006
ZINCd5000000YIHJ,cluster_0012,c_0012_001
ZINCb50000001CyT,cluster_0012,c_0012_002
ZINCd5000000YILS,cluster_0012,c_0012_003
ZINCg5000000SAAD,cluster_0012,c_0012_004
ZINCg90000011pLi,cluster_0012,c_0012_005
ZINCg90000011pLk,cluster_0012,c_0012_006
ZINCga0000011tUg,cluster_0012,c_0012_007
ZINCds000000vq5W,cluster_0013,c_0013_001
ZINCdq000000vpIS,cluster_0013,c_0013_002
ZINCdq0000001DNg,cluster_0013,c_0013_003
ZINCew000000vx8A,cluster_0013,c_0013_004
ZINCeu000000vw9b,cluster_0013,c_0013_005
ZINCfr0000006n0a,cluster_0013,c_0013_006
ZINCfv000000vLDm,cluster_0013,c_0013_007
ZINCgr000000xbZx,cluster_0014,c_0014_001
ZINCgo000000YH0G,cluster_0014,c_0014_002
ZINCgo000000YH0M,cluster_0014,c_0014_003
ZINCg6000001BE3u,cluster_0015,c_0015_001
ZINCf50000017E8b,cluster_0015,c_0015_002
ZINCf50000017E8c,cluster_0015,c_0015_003
ZINCf50000021gt5,cluster_0015,c_0015_004
ZINCg6000001f3Ti,cluster_0015,c_0015_005
ZINCg6000001f3Tj,cluster_0015,c_0015_006
ZINCgw000000lPkN,cluster_0016,c_0016_001
ZINCeq0000002PrT,cluster_0016,c_0016_002
ZINCft00000082c9,cluster_0016,c_0016_003
ZINCft00000082c8,cluster_0016,c_0016_004
ZINCda000001o9dn,cluster_0017,c_0017_001
ZINCc70000002z5E,cluster_0017,c_0017_002
ZINCec000000Y4Wf,cluster_0017,c_0017_003
ZINCed000000Y5jd,cluster_0017,c_0017_004
ZINCf5000000YaJD,cluster_0017,c_0017_005
ZINCfh000000Yhin,cluster_0017,c_0017_006
ZINCdm0000001QBX,cluster_0018,c_0018_001
ZINCci0000000EjK,cluster_0018,c_0018_002
ZINCcd0000000sv0,cluster_0018,c_0018_003
ZINCen0000007Kg3,cluster_0018,c_0018_004
ZINCfp000000mZLT,cluster_0018,c_0018_005
ZINCgf000000Ui2h,cluster_0019,c_0019_001
ZINCfl000000TkuA,cluster_0019,c_0019_002
ZINCfh000000Tb81,cluster_0019,c_0019_003
ZINCgj000000UFNg,cluster_0019,c_0019_004
ZINCgd000000U6pj,cluster_0019,c_0019_005
ZINCec000000REG3,cluster_0020,c_0020_001
ZINCc50000001E2T,cluster_0020,c_0020_002
ZINCd8000000YKxn,cluster_0020,c_0020_003
ZINCec000000REtQ,cluster_0020,c_0020_004
ZINCe9000000RA7d,cluster_0020,c_0020_005
ZINCec000000Z3C0,cluster_0021,c_0021_001
ZINCdg000000Wgqq,cluster_0021,c_0021_002
ZINCee000000Z6iF,cluster_0021,c_0021_003
ZINCf5000000ZtSC,cluster_0021,c_0021_004
ZINCgh000001jJxM,cluster_0021,c_0021_005
ZINCem000000RWYA,cluster_0022,c_0022_001
ZINCdt0000001WAw,cluster_0022,c_0022_002
ZINCdr000000xrOe,cluster_0022,c_0022_003
ZINCev0000003Vub,cluster_0022,c_0022_004
ZINCej0000016IiM,cluster_0022,c_0022_005
ZINCeb0000004nN4,cluster_0023,c_0023_001
ZINCde000000YMWM,cluster_0024,c_0024_001
ZINCdj000000YPLF,cluster_0024,c_0024_002
ZINCe5000001nXDc,cluster_0024,c_0024_003
ZINCfj0000010evW,cluster_0024,c_0024_004
ZINCgl00000134aS,cluster_0024,c_0024_005
ZINCc90000000k0M,cluster_0025,c_0025_001
ZINCc70000001nP2,cluster_0025,c_0025_002
ZINCd6000000YJYd,cluster_0025,c_0025_003
ZINCeg000000Z90w,cluster_0025,c_0025_004
